loop,stations,loop_class,rms_edge_uniform_rad,snr_gain_edge_uniform_vs_edge,snr_ratio_edge_uniform_vs_direct,rms_direct_physical_rad,snr_gain_direct_physical_vs_edge,snr_ratio_direct_physical_vs_direct,rms_current_near_rad,snr_gain_current_near_vs_edge,snr_ratio_current_near_vs_direct,rms_remote_star_full_rad,snr_gain_remote_star_full_vs_edge,snr_ratio_remote_star_full_vs_direct,rms_direct_balanced_10loop_rad,snr_gain_direct_balanced_10loop_vs_edge,snr_ratio_direct_balanced_10loop_vs_direct,rms_direct_optimized_schedule_rad,snr_gain_direct_optimized_schedule_vs_edge,snr_ratio_direct_optimized_schedule_vs_direct,rms_remote_star_scalar_rad,snr_gain_remote_star_scalar_vs_edge,snr_ratio_remote_star_scalar_vs_direct,rms_remote_star_independent_rad,snr_gain_remote_star_independent_vs_edge,snr_ratio_remote_star_independent_vs_direct
S1-S2-S3,Keck II | Subaru | Gemini North,core_only,0.005921562820536536,1.0,0.6707659907114775,0.00545626081207582,1.085278549630712,0.7279679415409598,0.004335755961579391,1.3657509493176092,0.9160992885841669,0.0020178221797984715,2.9346306527009967,1.9684504371312537,0.00397198295187744,1.4908328893349319,1.0,0.004639100104924564,1.276446441466222,0.8561968619002303,0.004335755961579389,1.3657509493176097,0.9160992885841672,0.004335755961579388,1.3657509493176099,0.9160992885841674
S1-S2-S4,Keck II | Subaru | new 5 m r=2km compact,one_remote,0.011788800491168013,1.0,0.7422035739518487,0.010917880517523227,1.0797700590555976,0.8014091968772632,0.009979480318607457,1.181304047384807,0.8767680858927878,0.005323333712921232,2.214552219890568,1.6436485723057797,0.008749689857150208,1.3473392410056977,1.0,0.009717501431019255,1.2131514026369947,0.9004053067818757,0.00888660951353156,1.326580229863517,0.9845925877385672,0.008738857637563501,1.3490093305210167,1.0012395464070893
S1-S2-S5,Keck II | Subaru | new 5 m r=4km compact,one_remote,0.023813704322428755,1.0,0.7352088370805763,0.020056270989058763,1.1873445634744253,0.8729462157259766,0.019968596655392308,1.192557731191296,0.8767789827006034,0.011636637736283803,2.0464420103219383,1.504562250561629,0.017508045861473538,1.3601577532322338,1.0,0.0194766611849533,1.222678984672488,0.8989243944439197,0.017736023116618156,1.342674407100653,0.9871460894223232,0.017520112879575507,1.3592209414466818,0.999311247696581
S1-S3-S4,Keck II | Gemini North | new 5 m r=2km compact,one_remote,0.014255108481001122,1.0,0.8306072937337813,0.013113216344533605,1.0870794858001047,0.9029361497739355,0.013500951851329407,1.0558595155346364,0.8770046147612859,0.007035889007891017,2.0260564748837675,1.682857285555011,0.011840397077285816,1.2039383804406019,1.0,0.011761608868570347,1.2120032761074009,1.0066987611640452,0.011794800582612494,1.2085925812103624,1.0038658131058644,0.011847976435101853,1.2031681999947001,0.9993602825041429
S1-S3-S6,Keck II | Gemini North | new 5 m r=9km compact,one_remote,0.046388331510365456,1.0,0.8288967429907856,0.039689162863475916,1.1687908780019765,0.968806952013179,0.04385172828024054,1.0578450001768323,0.8768442752356634,0.029374226648702782,1.5792188187672354,1.3090093353459173,0.03845113690171876,1.2064228849444476,1.0,0.03720217010998753,1.2469254178780218,1.0335724176315166,0.04037297467372682,1.1489946402327693,0.952397915002812,0.03844540510366318,1.20660274967282,1.0001490892875267
S2-S4-S5,Subaru | new 5 m r=2km compact | new 5 m r=4km compact,two_remote,0.03569335797164197,1.0,0.9526514997221835,0.03050044797270859,1.1702568435578367,1.1148469370755216,0.03565882319368724,1.0009684777808607,0.9535741215325682,0.034029806444728694,1.0488851304404339,0.9992219925503774,0.03400333100180548,1.0497018062655907,1.0,0.02919874152034936,1.2224279579572408,1.1645478274502918,0.03516602604328148,1.0149954938812666,0.966936979457247,0.034776509115278915,1.026364027893767,0.9777672304338981
S2-S5-S6,Subaru | new 5 m r=4km compact | new 5 m r=9km compact,two_remote,0.10678357733973097,1.0,1.018347172136471,0.08242751532683407,1.2954846074920792,1.3192530865858847,0.10677092975820739,1.0001184552907072,1.018467800746787,0.102813760057111,1.0386117313520564,1.0576673195701307,0.10874275401453116,0.9819833818578994,1.0,0.08305590664623817,1.2856831217863478,1.3092717713347173,0.10587965548862072,1.0085372571995892,1.0270410638634744,0.10677703660171729,1.0000612560361464,1.0184095520476568
S3-S4-S6,Gemini North | new 5 m r=2km compact | new 5 m r=9km compact,two_remote,0.05490390297382572,1.0,0.9657226477908758,0.04812690503416178,1.140815162222741,1.1017110391017229,0.05484236771376267,1.0011220387198492,0.9668062259943325,0.050940183316180554,1.0778112562540805,1.0408667402085008,0.053021942553936316,1.035493992283949,1.0,0.04532948926458545,1.2112182127920084,1.1697008595100309,0.053797128928100756,1.0205731061820076,0.985590562366247,0.05308365256808923,1.0342902252892583,0.998837494950564
S3-S5-S6,Gemini North | new 5 m r=4km compact | new 5 m r=9km compact,two_remote,0.10693094156766667,1.0,1.0049924313139171,0.08296567606227043,1.2888575931980468,1.2952921262055084,0.10687903059356374,1.000485698399533,1.0054805545293488,0.101705759890891,1.0513754745294779,1.0566243943712033,0.10746478694877572,0.995032369241438,1.0,0.07623038906352587,1.4027337769266373,1.4097368289596548,0.1056685709538328,1.0119465097562965,1.016998583199613,0.10691734188862355,1.0001271980653736,1.0051202644068953
S4-S5-S6,new 5 m r=2km compact | new 5 m r=4km compact | new 5 m r=9km compact,two_remote,0.11239429745334999,1.0,1.047403079466766,0.08651400809028706,1.2991456520665872,1.3607291566504032,0.10931769925609983,1.0281436420468617,1.0768808168140593,0.10931769925609978,1.0281436420468621,1.0768808168140598,0.11772213326714247,0.9547422760195636,1.0,0.08241258108033656,1.363800235109576,1.4284485660312694,0.10931769925609992,1.0281436420468608,1.0768808168140585,0.1093176992560998,1.028143642046862,1.0768808168140596
