gamma,score,snr_gain_vs_edge_min,snr_gain_vs_edge_mean,snr_ratio_vs_direct_min,snr_ratio_vs_direct_mean,snr_ratio_vs_direct_median,snr_ratio_vs_direct_max,rms_log_ratio_vs_direct
0.0,-0.009978529777881754,1.0001184552907072,1.0884155555842994,0.8767680858927878,0.9444704766791603,0.9348367050583675,1.0768808168140593,0.09274420725548607
0.05,-0.005826902883053925,1.0031136186955818,1.1092568607077506,0.9027636267910502,0.9611140040427406,0.9402839983022255,1.0768808168140591,0.0700422452868608
0.1,-0.0034332826786067855,1.0059118046645388,1.1289633713815141,0.916099288584167,0.9768360475341259,0.9635712042096218,1.0768808168140598,0.05260308276644613
0.15000000000000002,-0.002397059311909534,1.0085372571995892,1.147678881679093,0.9160992885841672,0.9917549699554374,0.986368325894285,1.0768808168140585,0.04278378838400856
0.2,-0.0024710387669961407,1.0110096333503737,1.1655186298518214,0.9160992885841672,1.0059653645671198,1.0185936766483858,1.0768808168140607,0.04285028556291377
0.25,-0.0035027763350801862,1.013345183083351,1.1825767818810518,0.9160992885841667,1.0195443452824215,1.027724601996262,1.0774594206642871,0.050885223686195795
0.30000000000000004,-0.00531587880437879,1.015557553607334,1.1989315428550316,0.9160992885841672,1.0325558256964462,1.030337439277473,1.1116767222598187,0.06277748997575086
0.35000000000000003,-0.007768940302867989,1.0176583566416508,1.2146487610711538,0.9160992885841678,1.045053525835882,1.0403141437853234,1.1443984757243724,0.07599747782554495
0.4,-0.010741539380914007,1.0196575803608772,1.2297845384601562,0.9160992885841672,1.0570831433713548,1.0521700889886563,1.1757604496127252,0.08945417639235174
0.45,-0.01413740712743525,1.021563896188175,1.2443871651696772,0.9160992885841667,1.068683958464896,1.058593760827002,1.2058789222283874,0.10270221222697166
0.5,-0.017879040453987145,1.0233848923237774,1.2584985820154355,0.9160992885841667,1.0798900441438057,1.0595209639595826,1.2348544360824147,0.11556067623380369
0.55,-0.021903472763053683,1.0251272549103363,1.2721555053584974,0.9160992885841669,1.0907311953742351,1.0604081289660119,1.262774664831062,0.12796151119033217
0.6000000000000001,-0.02615913571794082,1.0267969109204913,1.2853903056546854,0.9160992885841676,1.1012336533554854,1.0612582737042022,1.2897166371995048,0.13988742610526828
0.65,-0.030603496148637707,1.0281436420468615,1.2982317029953643,0.916099288584167,1.1114206779967284,1.0620740877019885,1.3157484864280233,0.151344716708877
0.7000000000000001,-0.03520125301194943,1.028143642046862,1.3107053244867524,0.9160992885841667,1.1213130059985492,1.0628579793413382,1.3409308438364138,0.1623505981074749
0.75,-0.03992294522813669,1.0281436420468621,1.3228341558164147,0.9160992885841674,1.130929221474476,1.0636121145309183,1.3653179615155733,0.1729270072391439
0.8,-0.0447438651360688,1.0281436420468624,1.3346389107258476,0.9160992885841667,1.1402860588236237,1.0643384487195622,1.3889586261011662,0.18309747268078141
0.8500000000000001,-0.04964320213622444,1.028143642046861,1.3461383360397534,0.9160992885841676,1.1493986524965254,1.0650387536334056,1.4118969094658886,0.1928855137563016
0.9,-0.05460336169746695,1.0281436420468624,1.3573494655645277,0.9160992885841669,1.158280744679678,1.0657146397843866,1.4341727907081432,0.20231383246588627
0.9500000000000001,-0.059609419363616155,1.0281436420468617,1.368287833020384,0.9160992885841674,1.1669448593044989,1.0663675755547657,1.4558226755443249,0.21140392808025046
1.0,-0.06464867968860039,1.0281436420468617,1.3789676518554175,0.9160992885841667,1.1754024488621748,1.0669989034834395,1.4768798331589474,0.22017594079987135
