eval,tag,score,snr_gain_vs_edge_min,snr_gain_vs_edge_mean,snr_ratio_vs_direct_min,snr_ratio_vs_direct_mean,snr_ratio_vs_direct_median,snr_ratio_vs_direct_max,rms_log_ratio_vs_direct,gamma_vector
12,coord_w0.08_i5,-0.002176586243619183,1.0086448496170979,1.15677073187581,0.916099288584167,0.9987443532860472,1.0054667073752892,1.0768808168140596,0.040435230573743715,"0.15,0.23,0.23,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
13,coord_w0.08_i6,-0.0025315477457799594,1.0020714919201752,1.1486169501144825,0.9160992885841678,0.9918097460539814,0.9950657160927323,1.0768808168140602,0.04404630355930139,"0.15,0.23,0.23,0.23,0.15,0.07,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
14,coord_w0.08_i6,-0.0023287025479210017,1.0020714919201754,1.1602918938075677,0.9160992885841672,1.0015617073241565,1.0094745220757262,1.0768808168140602,0.041701398352606785,"0.15,0.23,0.23,0.23,0.15,0.07,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
15,coord_w0.08_i7,-0.002106810513764536,1.002069026975158,1.1554057692023494,0.9160992885841678,0.9973713261044121,1.0054534414001655,1.076880816814058,0.03985529555778989,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
16,coord_w0.08_i7,-0.0021333804464567304,1.0020714919201754,1.1560655543828258,0.916099288584168,0.9980333144047636,1.0054667073752888,1.0768808168140596,0.04007558248979935,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
17,coord_w0.08_i8,-0.0024526503767557046,1.0020550669185446,1.1507467460919316,0.9160992885841672,0.9933388859098884,1.0054534414001663,1.076880816814058,0.04330144783000204,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
18,coord_w0.08_i8,-0.0020262021722695345,1.00207601338112,1.1576392527452195,0.9160992885841672,0.9992915414745214,1.0054534414001663,1.0768808168140587,0.03900917202600456,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
19,coord_w0.08_i9,-0.0020207583618594843,1.0020760133811217,1.1549241595780217,0.9160992885841674,0.9971103446711688,0.9977560569620061,1.0768808168140602,0.039010516206203764,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
20,coord_w0.08_i9,-0.0020262021722695345,1.00207601338112,1.1576392527452195,0.9160992885841672,0.9992915414745214,1.0054534414001663,1.0768808168140587,0.03900917202600456,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
21,coord_w0.08_i10,-0.002071746980134921,1.0020760133811217,1.1528172839109598,0.9160992885841676,0.9953853568299283,0.9947314473796118,1.0768808168140607,0.03957268665729729,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.07,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
22,coord_w0.08_i10,-0.002013853567470446,1.0020760133811215,1.1560171901884846,0.9160992885841678,0.9980382495638157,1.0023292237006247,1.0768808168140602,0.03892552460195165,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.15,0.15,0.15,0.15,0.15,0.15,0.15"
23,coord_w0.08_i11,-0.002037243090328195,1.0020760133811215,1.1563056589429783,0.916099288584167,0.9983627717955244,1.0013345639754965,1.0768808168140607,0.03913412185242529,"0.15,0.23,0.23,0.23,0.15,0.07,0.15,0.07,0.23,0.07,0.23,0.07,0.15,0.15,0.15,0.15,0.15,0.15"
