seed,strategy,blr_corr,global_corr,amp_chi2,phase_chi2,source_summary
20260533,collective_ns3,0.8123221292268878,0.9454182357805759,0.8650645379185102,0.8641118144808054,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260533/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260533_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260534,edge_uniform,0.686068217235803,0.9229414185689093,0.8532239349491642,0.9276888773734889,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260534/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260534_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260534,optimal_singlecopy,0.716523837664989,0.9004531925510489,0.8775015524880037,0.9378297205604925,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260534/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260534_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260534,collective_ns3,0.8198756022728211,0.9462857213251452,0.8918779040708517,0.8825863807827827,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260534/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260534_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260535,edge_uniform,0.6805114422760878,0.8874225063194405,0.874956477365152,0.9181257720582646,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260535/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260535_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260535,optimal_singlecopy,0.7415404203253187,0.9238091395595254,0.8772927175172297,0.9208185437907471,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260535/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260535_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260535,collective_ns3,0.8166709393872614,0.9407192309687794,0.8978743911186634,0.8819466079242536,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260535/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260535_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260536,edge_uniform,0.694801465419228,0.9137729437779336,0.8399050914471153,0.9596810070411874,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260536/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260536_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260536,optimal_singlecopy,0.7437354288780192,0.9079569198458104,0.852042303471745,0.9662556505932309,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260536/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260536_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
20260536,collective_ns3,0.8148581730508169,0.9389026986087932,0.8816290251309951,0.9288530197391558,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260536/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260536_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json
