N,n_s,raw_hilbert_dimension,number_of_joint_outcomes,repetitive_A_risk,joint_A_risk,A_risk_gain,A_risk_SNR_gain,minimum_direction_Fisher_gain,arithmetic_mean_Fisher_gain,maximum_direction_Fisher_gain,restart_objective_min,restart_objective_median,restart_objective_max,best_riemannian_gradient_norm
4,2,16,16,144.0,91.39475215300494,1.5755828054430088,1.2552222135713695,1.2339761770857711,1.6349472021906917,1.9657963857023908,91.39475215300494,91.61452819559315,92.02077394097509,7.559272235070216e-07
5,2,25,25,400.0,244.05413547373402,1.6389806270791483,1.280226787361969,1.3270078394500817,1.6924777830283606,2.116352389786118,244.05413547373402,245.12847154932197,245.84158313446304,3.205059788040617e-05
4,3,64,44,144.0,79.71724183397586,1.806384625046404,1.3440180895532634,1.499631871022643,1.8787248273020802,2.2752655473441132,79.71724183397586,79.85175685502128,80.07339903921851,0.0008797607535031374
5,3,125,85,400.0,207.1119461827501,1.9313226850133047,1.3897203621640235,1.520622271706167,2.017219634467474,2.399314419630989,207.1119461827501,208.76454991385998,209.5787131847051,0.0021006052091163945
