loop,loop_class,rms_edge_uniform_rad,rms_legacy_raw_linear_omega02_rad,rms_corrected_raw_symmetric_omega02_rad,rms_corrected_raw_generalized_opt_rad,gain_legacy_raw_linear_omega02_vs_edge,gain_corrected_raw_symmetric_omega02_vs_edge,gain_corrected_raw_generalized_opt_vs_edge,gain_old_local_schur_opt_vs_edge,gain_ratio_corrected_symmetric_over_legacy,gain_ratio_generalized_over_corrected_symmetric,gain_ratio_generalized_over_old_local_opt
S1-S2-S3,core,5.476972642617972e-05,3.3356843125174444e-05,3.3356843125174424e-05,2.9703256054736086e-05,1.6419337471670077,1.6419337471670088,1.8438963837921354,1.276446441466222,1.0000000000000007,1.1230029146873879,1.4445544473249483
S1-S2-S4,one remote,0.00011856834062431568,6.72058534103979e-05,6.720585341039784e-05,7.232566011109233e-05,1.7642561563837107,1.764256156383712,1.639367555611584,1.2131514026369947,1.0000000000000007,0.9292117528850694,1.3513297285467707
S1-S2-S5,one remote,0.00022745197512373554,0.00014202043696485303,0.00014202043696485316,0.00013748995234036054,1.6015439748296576,1.601543974829656,1.6543170700988483,1.222678984672488,0.999999999999999,1.0329513869731897,1.3530265023259402
S1-S3-S4,one remote,0.00013824028157651103,8.395801356288536e-05,8.395801356288545e-05,8.717527353058806e-05,1.6465406422814866,1.646540642281485,1.5857739927596013,1.2120032761074009,0.999999999999999,0.9630943519027358,1.3083908468074792
S1-S3-S6,one remote,0.0004444878096500576,0.0003028116431566182,0.00030281164315662117,0.0002794779862004029,1.467868953176819,1.4678689531768045,1.59042154157835,1.2469254178780218,0.9999999999999901,1.083490142724467,1.2754744740747037
S2-S4-S5,two remote,0.0003511576859176406,0.00022920888201296232,0.0002292088820129621,0.0002220814676375219,1.5320422264342348,1.5320422264342362,1.5812111188439868,1.2224279579572408,1.0000000000000009,1.032093692694221,1.2935004541996051
S2-S5-S6,two remote,0.001225788275791963,0.0007365995206676201,0.0007365995206676218,0.0007528946781275921,1.6641176669256648,1.6641176669256612,1.6281005981346972,1.2856831217863478,0.9999999999999979,0.9783566574006134,1.2663311593237603
S3-S4-S6,two remote,0.000521740656450147,0.00033350174638151995,0.0003335017463815203,0.00032924452080038927,1.564431557288714,1.5644315572887124,1.5846601036269397,1.2112182127920084,0.999999999999999,1.0129302852809265,1.3083192499013876
S3-S5-S6,two remote,0.001228199960050869,0.000709785750959909,0.0007097857509599098,0.0007219701934408841,1.7303812571467663,1.7303812571467645,1.701178208199028,1.4027337769266373,0.999999999999999,0.983123344160645,1.2127591394614285
S4-S5-S6,two remote,0.0012718529526189854,0.0007519778302226421,0.0007519778302226429,0.0007402146568968136,1.6913436826221608,1.6913436826221588,1.7182217898129009,1.363800235109576,0.9999999999999988,1.0158915703927611,1.2598779099600672
