outcome,terminal_a,terminal_b,copy_sector,probability,score_norm,fisher_trace_contribution,score_edge_12,score_edge_13,score_edge_14,score_edge_23,score_edge_24,score_edge_34
1,1,1,symmetric,0.07217634907229838,0.12974239579008565,0.0012149509267811492,0.015439295360151574,0.11461069226490822,-0.04462099459529277,0.024700802533862757,-0.0008452596723479258,0.029278479712717596
2,1,2,symmetric,0.10356882282430735,0.5249302513903188,0.028538572324330193,0.28595973467074504,0.04356222817832761,-0.13335259590436843,-0.30480469224350465,-0.28091721427761024,-0.047726666783838315
3,1,3,symmetric,0.025597141941880123,1.1160471829818426,0.031882809768198565,0.6451775982784183,-0.6144986583218703,0.13866603634755834,0.6343838238847376,0.05944268998452426,-0.1627699026431462
4,1,4,symmetric,0.03151704826309032,1.0063844961360207,0.0319207739001307,-0.31216182038337265,-0.4015750873635632,0.6068183493235589,-0.269831939573691,-0.017494102825006328,-0.5592480423240809
5,2,2,symmetric,0.008573588817007672,1.8322007303660268,0.02878119056855844,0.24816824924043368,0.8395509784318971,-1.1541739074807718,-0.6496756012680891,0.9032124607770805,-0.14330961636020215
6,2,3,symmetric,0.12076247879714945,0.5629462380228601,0.03827065201514239,-0.19520699043620335,-0.33338001765932995,-0.24389471904227047,-0.20849612319525282,-0.006595333340383477,0.2542866410733499
7,2,4,symmetric,0.008767428279397268,1.8176783865111465,0.028967186017830576,-0.6530926368934261,0.8006901449013675,0.1611450931469822,0.20367022670150275,-0.9306421981435684,1.1413920505364052
8,3,3,symmetric,0.12277684499630714,0.5261814622603662,0.03399284829979397,0.23519900022594975,0.15918484589124904,0.3834933029877655,-0.053146893242936255,0.1366315236863221,0.16627888439324456
9,3,4,symmetric,0.10547358059160325,0.5216199148504771,0.028698025516051332,-0.3209886336547739,0.0406486853999757,0.03655489042577223,0.27410584789372483,0.2792353830994819,0.11383603107110535
10,4,4,symmetric,0.11953671641695897,0.5311652777397222,0.033725677040312534,-0.04397300618707627,0.14901082084832562,-0.15599042552897008,0.23949563290932616,-0.14079385695378896,-0.3955813709946715
11,2,1,antisymmetric,0.04278027635936856,0.8957339066953123,0.03432429406196741,0.09330050447927514,0.514423916162554,-0.2898338508727179,-0.3623456498481597,0.5402626967590921,-0.14771753234650292
12,3,1,antisymmetric,0.0609160391224439,0.5447348581601834,0.018075985786904225,-0.057538296061259445,-0.22420892321961175,0.36678984309260554,-0.21919888060887183,-0.2014125802271671,-0.141441872159621
13,4,1,antisymmetric,0.041058934584885076,0.7905689983879265,0.025661807066423445,0.49568610898456067,-0.29730312190091507,-0.1452868674282993,0.28835093223201425,0.25457786927699816,0.34905737463630393
14,3,2,antisymmetric,0.045201919893334455,0.8830444906793083,0.03524699134842728,-0.3443923936868198,0.47996763648303087,0.19125994385054923,0.12679118143160523,-0.5387357457803423,0.2964792505835705
15,4,2,antisymmetric,0.0538800536078424,0.5797447640676847,0.01810930107788449,-0.27509594093039413,-0.15555023370694795,0.05185625008474021,-0.16026470075183813,0.23063420098420978,-0.39327389933439283
16,4,3,antisymmetric,0.03741277643212558,0.8338979039678839,0.026016310261031038,0.25527700831406724,-0.2527674488114168,-0.41211115219698724,0.5323972263517429,-0.2504684474283164,0.22430142340232448
