strategy,label,best_start,global_corr,blr_corr,profile_rmse,amp_chi2,phase_chi2
edge_uniform,Uniform edge-first,photon-weighted per-band stack,0.8944385014437881,0.7396372523193568,0.36645680605874265,0.8415931826549504,0.9291606333852194
optimal_singlecopy,Optimized single-copy POVM,photon-weighted per-band stack,0.9189737981580827,0.7799907114765995,0.3238992983796204,0.8541586768101049,0.9256956848924137
promoted_singlecopy,Promoted score lift,photon-weighted per-band stack,0.9331216395173642,0.8295063943511712,0.27621192837113756,0.8763576569924791,0.8966659698194421
