config,prior,tv,entropy,score,profile_rmse,global_corr,blr_corr,radial_corr,amp_chi2,phase_chi2,variant,variant_label
p0p08_tv0p06_e0p005,0.08,0.06,0.005,0.4764554123355509,0.4219475123993605,0.8450551787899718,0.7274605003190482,0.940369472564046,0.9222097771967415,0.5962730260705901,broad_plume_irregular_blr,broad plume + irregular BLR
p0p15_tv0_e0,0.15,0.0,0.0,0.4591053925719781,0.40744290659217675,0.8510194909565136,0.7416875701009933,0.9411211025396984,0.9233527238304597,0.5954918169269832,broad_plume_irregular_blr,broad plume + irregular BLR
p0p15_tv0_e0p005,0.15,0.0,0.005,0.46181344689027154,0.40960121572067815,0.8486097084952076,0.738938844152033,0.9406055609454685,0.9225498259138142,0.5963610181208597,broad_plume_irregular_blr,broad plume + irregular BLR
p0p15_tv0p01_e0,0.15,0.01,0.0,0.4588014710393118,0.406220043395349,0.8483831005776782,0.737092861780186,0.9407155311585836,0.9241699801900988,0.596055127778144,broad_plume_irregular_blr,broad plume + irregular BLR
p0p15_tv0p01_e0p005,0.15,0.01,0.005,0.465381173996785,0.4120641184270914,0.8471575509540937,0.733414722151532,0.9404835374061319,0.927306361067415,0.5956939709798554,broad_plume_irregular_blr,broad plume + irregular BLR
p0p15_tv0p03_e0,0.15,0.03,0.0,0.4583187924509994,0.40652996608747477,0.8489419237907089,0.741055868182377,0.9409621868112501,0.9245263388568423,0.5957629482395678,broad_plume_irregular_blr,broad plume + irregular BLR
p0p15_tv0p03_e0p005,0.15,0.03,0.005,0.47091206778590333,0.41730976446498635,0.8460270590443667,0.7319884833954151,0.9401945989143891,0.9211608999249966,0.5962200847719177,broad_plume_irregular_blr,broad plume + irregular BLR
p0p15_tv0p06_e0,0.15,0.06,0.0,0.46483373294564323,0.410702676906874,0.8455550559118025,0.7293447198061539,0.9399637389280002,0.9233014082057138,0.595160498412819,broad_plume_irregular_blr,broad plume + irregular BLR
p0p15_tv0p06_e0p005,0.15,0.06,0.005,0.4605022459911098,0.4082290594245817,0.8492587651832056,0.7386340671673598,0.9403414911519371,0.9228670594369579,0.5957971157579195,broad_plume_irregular_blr,broad plume + irregular BLR
baseline,0.1,0.045,0.01,0.2687145296163955,0.234661572924353,0.8784790738955398,0.8297352165397873,0.9399208039257482,0.928358170004119,0.6073000077377352,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0_tv0_e0,0.0,0.0,0.0,0.2619910733471708,0.22854674628489519,0.879999472115764,0.8327783646886219,0.9402454919190795,0.9253513065375405,0.6082324723548902,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0_tv0_e0p005,0.0,0.0,0.005,0.2643051139333662,0.23030052772837187,0.879255889980479,0.8299770689750282,0.939924522509281,0.9272587603395966,0.6071927816235904,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0_tv0p01_e0,0.0,0.01,0.0,0.26527917185565814,0.2314853947578045,0.8797433100830593,0.8310311145107319,0.9403503995081245,0.928393933907493,0.606090961865397,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0_tv0p01_e0p005,0.0,0.01,0.005,0.2734843849231447,0.238820894248147,0.8785619362889822,0.8266825466250115,0.9396946231368754,0.9288060016776952,0.6073903612013485,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0_tv0p03_e0,0.0,0.03,0.0,0.2632999610878258,0.22984272202917877,0.8806370597952259,0.8327138047067649,0.9408866573639159,0.9268435405118375,0.6072499462953187,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0_tv0p03_e0p005,0.0,0.03,0.005,0.2655008418993141,0.23225368773751517,0.8804706022084662,0.8337642291910052,0.9400808558729822,0.928164183099787,0.6071610730222312,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0_tv0p06_e0,0.0,0.06,0.0,0.2657864129556218,0.23092521559526782,0.8780052436313815,0.8256940131982301,0.940268761385431,0.927242732253052,0.60695404919973,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0_tv0p06_e0p005,0.0,0.06,0.005,0.2637104100158818,0.23065752500744754,0.8805360936015468,0.8347355749578287,0.9399137644564346,0.9291509101650541,0.6059239334861228,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p03_tv0_e0,0.03,0.0,0.0,0.2616734802529478,0.22783243571335798,0.8797696551647184,0.830794777302051,0.9403551818400119,0.9280552492034901,0.6063217524631355,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p03_tv0_e0p005,0.03,0.0,0.005,0.2642335566206538,0.23059857093681196,0.8798887365579493,0.8318250715807909,0.9404647670990548,0.928277887334106,0.607335025621666,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p03_tv0p01_e0,0.03,0.01,0.0,0.2666516328768012,0.23280403536474423,0.8796951770764173,0.830762012439715,0.9404217511811728,0.9276540313925826,0.6076112686499273,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p03_tv0p01_e0p005,0.03,0.01,0.005,0.2630521724956127,0.22960325668785292,0.8800179681493026,0.832755420961201,0.9400338488487868,0.9284106027693972,0.6068328687446284,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p03_tv0p03_e0,0.03,0.03,0.0,0.2640247724540152,0.2306239387854079,0.8805423281615874,0.8329958316569636,0.9401080420770427,0.9284824394727378,0.606972260039721,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p03_tv0p03_e0p005,0.03,0.03,0.005,0.2627966453425131,0.22963781643014125,0.8807883059734178,0.8342058554381406,0.9403617122993645,0.9277060598046899,0.6068395394518084,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p03_tv0p06_e0,0.03,0.06,0.0,0.2597681960997692,0.22628780082696873,0.879853053400106,0.8325980236359978,0.9400422678136565,0.9265074797995566,0.6067950123276776,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p03_tv0p06_e0p005,0.03,0.06,0.005,0.26521793058744214,0.23168016762150692,0.8805299787396887,0.832311185170324,0.9407326782774567,0.9253777330710287,0.6085991554138432,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p08_tv0_e0,0.08,0.0,0.0,0.26312887599700246,0.2293744991720619,0.8796706276196096,0.8312281158752971,0.9398009719630079,0.9284446866230252,0.6063731070978868,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p08_tv0_e0p005,0.08,0.0,0.005,0.26372250024368293,0.2303295929853987,0.8803411870022951,0.833035463708579,0.9402118716587591,0.9286257457457913,0.6058285832230608,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p08_tv0p01_e0,0.08,0.01,0.0,0.26559077978685064,0.23178974060852878,0.8790958279534473,0.8309948041083908,0.940181677636313,0.9281029435971928,0.6064341349786139,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p08_tv0p01_e0p005,0.08,0.01,0.005,0.26078010339756247,0.2278100506808423,0.8812423161195347,0.8351497364163992,0.9407085106127882,0.9266169718888861,0.6075665463145048,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p08_tv0p03_e0,0.08,0.03,0.0,0.2651398491629067,0.23095675168123606,0.8797446135923194,0.8290845125916466,0.9403156100396548,0.9268346655364945,0.6074710994055986,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p08_tv0p03_e0p005,0.08,0.03,0.005,0.2623089134823317,0.22884634184771377,0.879847390160124,0.8326871418269104,0.939854710030629,0.9283816502444542,0.6069358102670099,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
p0p08_tv0p06_e0,0.08,0.06,0.0,0.2626368216762093,0.22920856750796337,0.8795505894194391,0.8328587291587705,0.9400635856107321,0.9278998946931277,0.6058340719133597,two_arc_diffuse_tail,two broad BLR arcs + diffuse tail
