seed,strategy,label,exposure_s,phase_space,phase_dimension,amplitude_space,amplitude_dimension,coherent_block_size,promotion_model,finite_ns_qlan_fisher_factor,summary_path,blr_corr,global_corr,amp_chi2,phase_chi2
20260532,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260532/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260532_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.8256429895000592,0.942025487451367,0.8746015321183526,0.859775118981309
20260533,edge_uniform,Uniform edge-first,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260533/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260533_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.6495582694376079,0.8938471557170159,0.8356303097493138,0.9015325292002064
20260533,optimal_singlecopy,Optimal single-copy POVM,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260533/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260533_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.7239808197123979,0.9217715185091659,0.8539254979625389,0.9109598464258855
20260533,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260533/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260533_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.8123221292268878,0.9454182357805759,0.8650645379185102,0.8641118144808054
20260534,edge_uniform,Uniform edge-first,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260534/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260534_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.686068217235803,0.9229414185689093,0.8532239349491642,0.9276888773734889
20260534,optimal_singlecopy,Optimal single-copy POVM,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260534/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260534_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.716523837664989,0.9004531925510489,0.8775015524880037,0.9378297205604925
20260534,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260534/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260534_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.8198756022728211,0.9462857213251452,0.8918779040708517,0.8825863807827827
20260535,edge_uniform,Uniform edge-first,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260535/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260535_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.6805114422760878,0.8874225063194405,0.874956477365152,0.9181257720582646
20260535,optimal_singlecopy,Optimal single-copy POVM,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260535/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260535_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.7415404203253187,0.9238091395595254,0.8772927175172297,0.9208185437907471
20260535,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260535/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260535_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.8166709393872614,0.9407192309687794,0.8978743911186634,0.8819466079242536
20260536,edge_uniform,Uniform edge-first,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260536/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260536_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.694801465419228,0.9137729437779336,0.8399050914471153,0.9596810070411874
20260536,optimal_singlecopy,Optimal single-copy POVM,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260536/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260536_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.7437354288780192,0.9079569198458104,0.852042303471745,0.9662556505932309
20260536,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260536/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260536_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.8148581730508169,0.9389026986087932,0.8816290251309951,0.9288530197391558
20260537,edge_uniform,Uniform edge-first,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260537/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260537_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.6590231982158798,0.9049627674003695,0.8110832839770367,0.9351012084254826
20260537,optimal_singlecopy,Optimal single-copy POVM,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260537/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260537_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.6800225244298305,0.8966962122647675,0.8225356687232973,0.9404618718637211
20260537,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260537/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260537_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.806462629705983,0.9432401925471028,0.8515253842700932,0.9085102988896471
20260538,edge_uniform,Uniform edge-first,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260538/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260538_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.6880569733565209,0.9221333879188879,0.8213891752174658,0.9112506832989874
20260538,optimal_singlecopy,Optimal single-copy POVM,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260538/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260538_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.712751423627617,0.9237035395503719,0.8351965897149582,0.9209877125499989
20260538,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260538/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260538_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.8108252178189158,0.9350828616193227,0.8541195715877505,0.8879783014037937
20260539,edge_uniform,Uniform edge-first,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260539/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260539_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.7396372523193568,0.8944385014437881,0.8415931826549504,0.9291606333852194
20260539,optimal_singlecopy,Optimal single-copy POVM,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260539/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260539_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.7799907114765995,0.9189737981580827,0.8541586768101049,0.9256956848924137
20260539,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260539/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260539_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.8295063943511712,0.9331216395173642,0.8763576569924791,0.8966659698194421
20260540,edge_uniform,Uniform edge-first,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260540/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260540_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.6924377837301985,0.907986894679857,0.8182856006770123,0.9038495984920425
20260540,optimal_singlecopy,Optimal single-copy POVM,0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260540/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260540_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.7318699401740353,0.9201889765390301,0.8335755023651068,0.9131153376633615
20260540,promoted_singlecopy,Induced joint POVM (n_s=3),0.1,closure,10,full_edge,15,3,finite_ns3_povm_q2_per_band_near_transit,1.0,/Users/xinyaoguo/Desktop/VLBI/telescope_final/paper_figure_data_reproducibility_20260824/02_six_station_imaging_(fig3&4)/results_12seed_raw/100ms/seed_20260540/rml_outputs/broad_plume_split_objective_nmode_rml_paired_povm_100ms_seed20260540_ns3_eff002_perband_localclosure_nogauge_nocoreprior_chi0p85w075to100_summary.json,0.8009152181090725,0.9449529373354377,0.8530641944618196,0.87480816587883
